            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2456897.500000000, A.D. 2014-Aug-28 00:00:00.0000,  6.825672612601037E-01,  8.027261978544897E+07,  8.445190901388548E+00,  2.498385667900488E+01,  2.620156253355898E+02,  2.456900496253779E+06,  5.190448285306728E-06,  3.586563158151665E+02,  3.502922891943462E+02,  2.528807208232676E+08,  4.254888218610863E+08,  6.935817105029222E+07,
2456898.500000000, A.D. 2014-Aug-29 00:00:00.0000,  6.825674569414117E-01,  8.027262047585751E+07,  8.445190622798012E+00,  2.498385009583657E+01,  2.620156225633950E+02,  2.456900496250789E+06,  5.190443418869319E-06,  3.591047727269150E+02,  3.535182813439882E+02,  2.528808788865785E+08,  4.254891372972994E+08,  6.935823607887860E+07,
2456899.500000000, A.D. 2014-Aug-30 00:00:00.0000,  6.825676518153835E-01,  8.027262089456233E+07,  8.445190393607341E+00,  2.498384324848093E+01,  2.620156202382611E+02,  2.456900496247909E+06,  5.190438598587625E-06,  3.595532287447656E+02,  3.567610294079637E+02,  2.528810354509817E+08,  4.254894500074011E+08,  6.935830049082170E+07,
2456900.500000000, A.D. 2014-Aug-31 00:00:00.0000,  6.825678460404552E-01,  8.027262103490831E+07,  8.445190217220313E+00,  2.498383614066777E+01,  2.620156183484232E+02,  2.456900496245139E+06,  5.190433821221093E-06,  1.683880667259783E-03,  1.221296821142133E-02,  2.528811906217249E+08,  4.254897602085415E+08,  6.935836432942073E+07,
2456901.500000000, A.D. 2014-Sep-01 00:00:00.0000,  6.825680398558776E-01,  8.027262089016080E+07,  8.445190097071624E+00,  2.498382877585168E+01,  2.620156168824195E+02,  2.456900496242478E+06,  5.190429081554741E-06,  4.501381450429203E-01,  3.263364660075698E+00,  2.528813445681866E+08,  4.254900682462124E+08,  6.935842766435903E+07,
2456902.500000000, A.D. 2014-Sep-02 00:00:00.0000,  6.825682335847469E-01,  8.027262045347776E+07,  8.445190036658650E+00,  2.498382115698807E+01,  2.620156158297603E+02,  2.456900496239928E+06,  5.190424372327481E-06,  8.985915458245520E-01,  6.506017671154698E+00,  2.528814975262052E+08,  4.254903745989326E+08,  6.935849059266216E+07,
2456903.500000000, A.D. 2014-Sep-03 00:00:00.0000,  6.825684276367926E-01,  8.027261971787536E+07,  8.445190039581961E+00,  2.498381328632054E+01,  2.620156151816059E+02,  2.456900496237492E+06,  5.190419684167233E-06,  1.347044087447477E+00,  9.731853215612833E+00,  2.528816498001866E+08,  4.254906798824978E+08,  6.935855323956516E+07,
2456904.500000000, A.D. 2014-Sep-04 00:00:00.0000,  6.825686225108351E-01,  8.027261867618783E+07,  8.445190109594156E+00,  2.498380516517596E+01,  2.620156149314492E+02,  2.456900496235172E+06,  5.190415005534342E-06,  1.795495769808543E+00,  1.293284148351746E+01,  2.528818017649428E+08,  4.254909848536977E+08,  6.935861575926889E+07,
2456905.500000000, A.D. 2014-Sep-05 00:00:00.0000,  6.825688187969287E-01,  8.027261732101864E+07,  8.445190250657200E+00,  2.498379679378032E+01,  2.620156150757794E+02,  2.456900496232975E+06,  5.190410322673922E-06,  2.243946587194151E+00,  1.610137009967659E+01,  2.528819538672403E+08,  4.254912904134619E+08,  6.935867833557720E+07,
2456906.500000000, A.D. 2014-Sep-06 00:00:00.0000,  6.825690171781654E-01,  8.027261564468487E+07,  8.445190467008398E+00,  2.498378817108486E+01,  2.620156156147377E+02,  2.456900496230906E+06,  5.190405619576964E-06,  2.692396527182733E+00,  1.923035512450735E+01,  2.528821066270636E+08,  4.254915976094424E+08,  6.935874118241674E+07,
2456907.500000000, A.D. 2014-Sep-07 00:00:00.0000,  6.825692184322427E-01,  8.027261363914658E+07,  8.445190763235287E+00,  2.498377929460672E+01,  2.620156165527227E+02,  2.456900496228975E+06,  5.190400877948648E-06,  3.140845569530137E+00,  2.231333096467040E+01,  2.528822606386455E+08,  4.254919076381444E+08,  6.935880454426081E+07,
2456908.500000000, A.D. 2014-Sep-08 00:00:00.0000,  6.825694234331441E-01,  8.027261129591933E+07,  8.445191144360214E+00,  2.498377016028268E+01,  2.620156178989611E+02,  2.456900496227192E+06,  5.190396077175749E-06,  3.589293685033322E+00,  2.534451707389143E+01,  2.528824165715259E+08,  4.254922218471326E+08,  6.935886869656523E+07,
2456909.500000000, A.D. 2014-Sep-09 00:00:00.0000,  6.825696331525029E-01,  8.027260860595822E+07,  8.445191615935514E+00,  2.498376076233306E+01,  2.620156196680093E+02,  2.456900496225572E+06,  5.190391194304343E-06,  4.037740834384652E+00,  2.831886084879014E+01,  2.528825751712770E+08,  4.254925417365959E+08,  6.935893394606648E+07,
2456910.500000000, A.D. 2014-Sep-10 00:00:00.0000,  6.825698486621393E-01,  8.027260555950566E+07,  8.445192184150677E+00,  2.498375109313358E+01,  2.620156218802045E+02,  2.456900496224130E+06,  5.190386203992388E-06,  4.486186966987662E+00,  3.123205751311060E+01,  2.528827372610441E+08,  4.254928689625825E+08,  6.935900063141583E+07,
2456911.500000000, A.D. 2014-Sep-11 00:00:00.0000,  6.825700711369190E-01,  8.027260214588870E+07,  8.445192855953438E+00,  2.498374114309160E+01,  2.620156245620449E+02,  2.456900496222886E+06,  5.190381078459258E-06,  4.934632019740959E+00,  3.408054892641161E+01,  2.528829037431854E+08,  4.254932053404822E+08,  6.935906912385409E+07,
2456912.500000000, A.D. 2014-Sep-12 00:00:00.0000,  6.825703018591329E-01,  8.027259835325073E+07,  8.445193639187075E+00,  2.498373090052393E+01,  2.620156277465092E+02,  2.456900496221864E+06,  5.190375787404349E-06,  5.383075915755779E+00,  3.686150408569309E+01,  2.528830756019174E+08,  4.254935528505840E+08,  6.935913982829982E+07,
2456913.500000000, A.D. 2014-Sep-13 00:00:00.0000,  6.825705422245880E-01,  8.027259416820468E+07,  8.445194542747172E+00,  2.498372035153174E+01,  2.620156314733323E+02,  2.456900496221091E+06,  5.190370297891326E-06,  5.831518562977609E+00,  3.957278459254349E+01,  2.528832539070751E+08,  4.254939136459456E+08,  6.935921318489665E+07,
2456914.500000000, A.D. 2014-Sep-14 00:00:00.0000,  6.825707937509873E-01,  8.027258957538629E+07,  8.445195576761829E+00,  2.498370947986783E+01,  2.620156357892392E+02,  2.456900496220597E+06,  5.190364574185956E-06,  6.279959852673105E+00,  4.221289855476078E+01,  2.528834398193814E+08,  4.254942900633765E+08,  6.935928967118105E+07,
2456915.500000000, A.D. 2014-Sep-15 00:00:00.0000,  6.825710580891481E-01,  8.027258455688812E+07,  8.445196752800179E+00,  2.498369826679212E+01,  2.620156407481602E+02,  2.456900496220420E+06,  5.190358577535778E-06,  6.728399657729185E+00,  4.478094632777096E+01,  2.528836345976046E+08,  4.254946846383211E+08,  6.935936980502740E+07,
2456916.500000000, A.D. 2014-Sep-16 00:00:00.0000,  6.825713370377448E-01,  8.027257909154999E+07,  8.445198084115809E+00,  2.498368669090904E+01,  2.620156464114461E+02,  2.456900496220600E+06,  5.190352265877448E-06,  7.176837830699662E+00,  4.727656124015490E+01,  2.528838396080668E+08,  4.254951001245835E+08,  6.935945414855973E+07,
2456917.500000000, A.D. 2014-Sep-17 00:00:00.0000,  6.825716325622956E-01,  8.027257315407665E+07,  8.445199585932876E+00,  2.498367472798053E+01,  2.620156528481074E+02,  2.456900496221185E+06,  5.190345593456559E-06,  7.625274201522411E+00,  4.969984805519206E+01,  2.528840563369945E+08,  4.254955395199124E+08,  6.935954331323335E+07,
2456918.500000000, A.D. 2014-Sep-18 00:00:00.0000,  6.825719468193130E-01,  8.027256671394636E+07,  8.445201275785351E+00,  2.498366235070739E+01,  2.620156601351004E+02,  2.456900496222229E+06,  5.190338510341175E-06,  8.073708574808428E+00,  5.205132145763264E+01,  2.528842864063228E+08,  4.254960060986993E+08,  6.935963796633685E+07,
2456919.500000000, A.D. 2014-Sep-19 00:00:00.0000,  6.825722821867144E-01,  8.027255973406474E+07,  8.445203173922311E+00,  2.498364952847028E+01,  2.620156683576914E+02,  2.456900496223793E+06,  5.190330961806565E-06,  8.522140726584835E+00,  5.433184637274396E+01,  2.528845315936837E+08,  4.254965034533026E+08,  6.935973883921598E+07,
2456920.500000000, A.D. 2014-Sep-20 00:00:00.0000,  6.825726413018610E-01,  8.027255216910607E+07,  8.445205303796030E+00,  2.498363622701942E+01,  2.620156776099287E+02,  2.456900496225948E+06,  5.190322887563101E-06,  8.970570400340963E+00,  5.654258146133528E+01,  2.528847938574890E+08,  4.254970355458719E+08,  6.935984673759341E+07,
2456921.500000000, A.D. 2014-Sep-21 00:00:00.0000,  6.825730271089836E-01,  8.027254396346441E+07,  8.445207692654662E+00,  2.498362240810080E+01,  2.620156879952575E+02,  2.456900496228775E+06,  5.190314220791788E-06,  9.418997302191068E+00,  5.868492671562002E+01,  2.528850753682638E+08,  4.254976067730632E+08,  6.935996255446006E+07,
