"signature__source","signature__version","count","fields","data__001","data__002","data__003","data__004","data__005","data__006","data__007","data__008","data__009","data__010","data__011"
"","","","","2018 DQ","3","2458171.011460911","2018-Feb-21 12:17","0.000671481723219648","0.000668121748987594","0.000674841717474524","21.0568583567852","20.8675625106061","00:06","29.1"
"","","","","2018 DN4","2","2458174.136725317","2018-Feb-24 15:17","0.00141176392186809","4.53290149187771e-05","0.00297270936066721","18.116343221581","18.0118630508768","04:43","28.393"
"","","","","2018 EB4","6","2458193.749803572","2018-Mar-16 06:00","0.00373489024364206","0.00372907474363072","0.00374070559125207","12.9487769102687","12.8935650169444","< 00:01","25.4"
"","","","","2018 FF3","6","2458200.623402296","2018-Mar-23 02:58","0.00290913224880601","0.00290577434619949","0.00291249006212535","12.0159196615407","11.9394523240615","< 00:01","26.6"
"","","","","2018 FQ3","2","2458196.749079403","2018-Mar-19 05:59","0.00186930540855535","0.00185410423362958","0.00188450111196304","11.0397096563532","10.9098313408962","< 00:01","28.6"
"","","","","2018 FZ3","3","2458201.179816969","2018-Mar-23 16:19","0.00128760036490153","0.00128495103378606","0.00129024950545438","14.1092757322163","13.9618403973486","< 00:01","27.6"
"","","","","2018 FK5","2","2458208.061195139","2018-Mar-30 13:28","0.00100402930807346","0.00100218457182143","0.00100587381532556","11.497851775195","11.2646803156667","< 00:01","28.3"
"","","","","2018 FL29","2","2458195.470817062","2018-Mar-17 23:18","0.0014841165067874","0.00146224069609167","0.00150598135633999","12.0433722841156","11.8933660234349","00:20","30.037"
"","","","","2018 GN","4","2458218.121883548","2018-Apr-09 14:56","0.00287592622927157","0.00287281481380747","0.00287903761630204","21.1238899848493","21.0799851567345","< 00:01","26.2"
"","","","","2018 GU1","7","2458216.805897831","2018-Apr-08 07:20","0.00436838990685663","0.0043564847288368","0.00438029476339695","15.2877780358242","15.2478282541644","< 00:01","24.3"
"","","","","2018 GE3","5","2458223.778551123","2018-Apr-15 06:41","0.00128976720143121","0.00128824520482133","0.00129128918337345","29.579135833402","29.5092113636716","< 00:01","23.8"
"","","","","2018 GY3","3","2454566.324500290","2008-Apr-09 19:47","0.00404335379801707","0.00404235331405012","0.00404435430818119","11.2909652096817","11.2324503242507","00:01","27.6"
"","","","","2018 GY3","3","2458218.682902962","2018-Apr-10 04:23","0.00201257204519569","0.0020116762180558","0.00201346787780087","11.2652565762757","11.147114906637","00:02","27.6"
"","","","","2018 HV","3","2458231.212850012","2018-Apr-22 17:07","0.00103492584856583","0.00103422294323921","0.00103562873840861","16.0311523731236","15.8697424416087","< 00:01","28.9"
"","","","","2018 HC1","3","2458228.434411216","2018-Apr-19 22:26","0.0031525498964757","0.00314612755515241","0.00315897205789605","15.5331407448316","15.4786335579235","< 00:01","26.7"
"","","","","2018 KY2","3","2458264.725983417","2018-May-26 05:25","0.00200235445068194","0.0019984677369333","0.00200624089775785","12.1799692519062","12.0702238853968","< 00:01","27.2"
"","","","","2018 LD1","10","2458284.166344594","2018-Jun-14 16:00","0.00401928607919544","0.00401253108559045","0.00402604082940863","10.9630404567793","10.9024038168572","< 00:01","26.2"
"","","","","2018 LV3","5","2458284.604670606","2018-Jun-15 02:31","0.00220481258533718","0.00220116130237996","0.00220846364194545","11.1240417037406","11.0148689094015","< 00:01","26.5"
"","","","","2018 NH","9","2458302.229593815","2018-Jul-02 17:31","0.00289791611244501","0.00289007969658651","0.002905752382494","22.2368266663817","22.1954402262688","< 00:01","24.7"
"","","","","2018 NW","3","2458307.633515391","2018-Jul-08 03:12","0.000832912513981543","0.000829097634362669","0.000836726907852795","21.2611245521002","21.1101263836867","< 00:01","27.8"
"","","","","2018 OF2","2","2458323.950442223","2018-Jul-24 10:49","0.00294016054100688","0.00238800573699094","0.00349079488708953","11.9102273912082","11.833893885929","01:01","27.363"
"","","","","2018 PD20","3","2458341.106746288","2018-Aug-10 14:34","0.000223886253158388","0.000223567647259704","0.000224204780575474","12.0395004874175","11.0067021054283","00:01","27.4"
"","","","","2018 PY23","2","2458346.368110012","2018-Aug-15 20:50","0.00338627671570001","0.0033425084607616","0.00343004243456728","25.1195653018273","25.0882217052729","00:03","27.8"
"","","","","2018 QR1","2","2458352.382049087","2018-Aug-21 21:10","0.000590426087713746","0.000587373173231351","0.000593477843186448","18.0248131623743","17.7726833745185","00:02","27.232"
"","","","","2018 QS1","2","2458354.910115051","2018-Aug-24 09:51","0.00300192643533171","0.00298488250369979","0.00301896855950274","13.5232169536436","13.4574223809573","< 00:01","27.6"
"","","","","2018 RS","2","2458367.223092576","2018-Sep-05 17:21","0.000709899530152468","0.000705393153068317","0.000714405364645469","17.06700509964","16.8456530069419","00:04","30.0"
"","","","","2018 RE3","7","2458375.030774368","2018-Sep-13 12:44","0.00471682842037369","0.00470577810521697","0.00472787817980101","10.2559140517747","10.2006861152409","< 00:01","27.3"
"","","","","2018 RE5","5","2458376.656133018","2018-Sep-15 03:45","0.00379381251498992","0.00377602514726473","0.00381156484815265","15.3342136468607","15.2883440391213","< 00:01","27.4"
"","","","","2018 RY5","4","2458374.216563014","2018-Sep-12 17:12","0.00119937573289725","0.00119754864615007","0.00120120277760291","23.7165464199918","23.6226895968353","< 00:01","26.6"
"","","","","2018 RZ5","3","2458374.338718589","2018-Sep-12 20:08","0.000331387039343228","0.000330911884195121","0.000331862186961214","20.2297776885954","19.8283417255386","< 00:01","29.7"
"","","","","2018 RB6","8","2458377.707303069","2018-Sep-16 04:59","0.00389291943032809","0.00389215393105808","0.00389368492953747","13.5503751514675","13.4997696955307","< 00:01","25.8"
"","","","","2018 RE8","2","2458375.474640750","2018-Sep-13 23:23","0.00315070750268894","0.00313520033095643","0.00316621224211995","10.1140910423851","10.0301288419075","< 00:01","27.1"
"","","","","2018 RF8","5","2458380.734798443","2018-Sep-19 05:38","0.0035223332287832","0.00351304679398427","0.00353161936982401","15.8117065605075","15.7637926422875","< 00:01","25.8"
"","","","","2018 SC","3","2457462.892298929","2016-Mar-15 09:25","0.000534159710074668","0.000486884782214435","0.0180812262789755","14.2993060272553","13.9461038733515","1_00:37","28.0"
"","","","","2018 SC","3","2458380.115167229","2018-Sep-18 14:46","0.00179490387628769","0.00179262196043144","0.0017971857116653","14.0288960082531","13.9226788016711","< 00:01","28.0"
